,texto,polaridad
96,Superclásico: ¿por qué no ganó Boca? La enfermera y modelo de trajes de baño que no dejó de trabajar durante la pandemia.,Neutral
97,La enfermera y modelo de trajes de baño que no dejó de trabajar durante la pandemia Estudiantes brasileños le enviaron una carta a Santiago Cafiero para los dejen ingresar a Argentina.,Neutral
98,"Estudiantes brasileños le enviaron una carta a Cafiero para los dejen ingresar a Argentina Dos veces presidente de la Nación, fue derrocado por el general José Félix Uriburu el 6 de septiembre de 1930 y encarcelado.",Positivo
99,"Cómo fueron los últimos días de Hipólito Yrigoyen YPF ofrecerá a los trabajadores de la educación la posibilidad de acceder a un descuento del 15% en la carga de combustible, a un desayuno bonificado en FULL y realizar el escaneo de su vehículo en Boxes de manera gratuita.",Positivo
100,YPF acompaña a las y los trabajadores de la educación en la vuelta a clases El Kun Agüero no supo decir cómo se llamaba San Martín y lanzó una polémica teoría sobre el cruce de Los Andes.,Neutral
101,El Kun Agüero se olvidó el nombre de San Martín y cuestionó el cruce de Los Andes Las claves del empate en el Superclásico.,Neutral
102,"Superclásico: ¿por qué no ganó River? ""Me preocupa, hay vocación de avanzar sobre las instituciones"", aseguró Horacio Rodríguez Larreta.",Neutral
103,Larreta y su preocupación por la falta de ministro de Justicia NASA: el telescopio Hubble ya volvió a funcionar,Neutral
104,NASA: el telescopio Hubble ya volvió a funcionar ¿Cómo hacen las cuentas antivacunas para desafiar las normas y prosperar en las redes sociales?,Neutral
105,¿Cómo hacen las cuentas antivacunas para desafiar las normas y prosperar en las redes? Phor es el león de 11 años que fue sometido a la brutal operación en un zoo de Holanda.,Negativo
106,"Un león embarazó a dos leonas, tuvo 5 cachorros y lo sometieron a una vasectomía El sorprendente 'rincón de los colibríes' en pleno centro de Bogotá",Neutral
107,El sorprendente 'rincón de los colibríes' en pleno centro de Bogotá Una mujer fue al hospital por una lesión en su tobillo y descubrió que nació como hombre y es intersexual,Neutral
108,"Una mujer fue al hospital por una lesión en su tobillo y descubrió que nació como hombre ""SU HIJO SALIÓ A MATAR""",Neutral
109,E fuerte cruce entre la madre del chico que manejaba el auto y el hermano de la víctima EL OBELISCO SE RENUEVA,Neutral
